timestamp,scenario,fault_active,fault_labels,T_mean,T_min,T_max,pH_mean,pH_min,pH_max,RPM_mean,RPM_min,RPM_max,set_T,set_pH,set_RPM,ΔT,ΔpH,ΔRPM
1763715265025,three_faults,False,,29.98857726403601,29.877835918624385,30.038749405017086,4.855523111101207,4.80475125505552,4.886481559909552,997.4716107423319,986.8698648577532,1013.9804042659548,30.0,5.0,1000.0,-0.011422735963989794,-0.14447688889879284,-2.5283892576680955
1763715266374,three_faults,False,,29.99046051099442,29.90080577642732,30.061760883079785,4.799302568065249,4.763886102628501,4.84561640748254,1007.1494961627017,977.8093684558864,1030.2001827564927,30.0,5.0,1000.0,-0.009539489005579327,-0.20069743193475098,7.149496162701666
1763715267121,three_faults,False,,29.963493913984927,29.90080577642732,30.038749405017086,4.819611310483525,4.763886102628501,4.886481559909552,1000.436996217634,979.0031211915654,1036.8263825583442,30.0,5.0,1000.0,-0.036506086015073436,-0.1803886895164748,0.4369962176340323
1763715268170,three_faults,False,,29.997357430386252,29.92378153941172,30.10780185277025,4.7611617591333655,4.709399232725812,4.831994690006865,996.7570632934425,971.2305206939407,1009.9692143725384,30.0,5.0,1000.0,-0.0026425696137479804,-0.23883824086663452,-3.2429367065575434
1763715269219,three_faults,False,,29.96769022531217,29.831913864646026,30.084778361129167,4.756456074914499,4.709399232725812,4.791129537579844,998.1392026978505,978.6283974493954,1033.4852218930675,30.0,5.0,1000.0,-0.03230977468782825,-0.24354392508550138,-1.8607973021495354
1763715270259,three_faults,False,,29.965159260595176,29.92378153941172,30.038749405017086,4.729831808939319,4.709399232725812,4.750264385152825,998.6990782963685,980.8762354463216,1016.6769429332547,30.0,5.0,1000.0,-0.03484073940482446,-0.270168191060681,-1.3009217036315022
1763715271317,three_faults,False,,29.978122410303442,29.90080577642732,30.061760883079785,4.756456074914496,4.682155797774461,4.831994690006865,1000.2424165317028,984.2624814552046,1015.5078080429454,30.0,5.0,1000.0,-0.021877589696558175,-0.24354392508550404,0.24241653170281552
1763715272416,three_faults,False,,29.974357883056957,29.92378153941172,30.061760883079785,4.802026911560383,4.736642667677156,4.831994690006865,999.9226687456072,988.0096590310645,1014.9803008757282,30.0,5.0,1000.0,-0.02564211694304319,-0.1979730884396167,-0.07733125439278865
1763715273415,three_faults,False,,29.9593132471142,29.877835918624385,30.0157439133518,4.829518014102198,4.7775078201041765,4.913724994860904,1000.3366167723387,976.0713870325835,1019.2962588697462,30.0,5.0,1000.0,-0.040686752885800814,-0.17048198589780217,0.33661677233874343
1763715274463,three_faults,False,,29.951366678749856,29.90080577642732,30.0157439133518,4.840167720492268,4.791129537579844,4.886481559909552,1005.1464100068117,981.231033034162,1018.6676529538278,30.0,5.0,1000.0,-0.048633321250143524,-0.15983227950773227,5.1464100068117205
1763715275590,three_faults,False,,29.96056173105361,29.92378153941172,30.0157439133518,4.864686811948479,4.831994690006865,4.886481559909552,997.2814808284305,978.9204893629204,1011.8562131744254,30.0,5.0,1000.0,-0.03943826894639102,-0.13531318805152104,-2.7185191715694828
1763715276401,three_faults,False,,29.962864647693458,29.877835918624385,30.038749405017086,4.8769463576765855,4.831994690006865,4.940968429812249,998.0130834537028,989.7224420444218,1012.4475346442198,30.0,5.0,1000.0,-0.0371353523065423,-0.12305364232341454,-1.9869165462971523
1763715277501,three_faults,False,,29.957221316712776,29.877835918624385,30.038749405017086,4.983071920191597,4.886481559909552,5.022698734666281,998.3695435943216,977.8012372282201,1022.6300325276011,30.0,5.0,1000.0,-0.04277868328722434,-0.016928079808402607,-1.6304564056783875
1763715278501,three_faults,False,,29.937575288761998,29.877835918624385,29.992744394509828,5.021336562918716,4.995455299714936,5.0499421696176325,987.1868359015689,977.2020753144429,1013.6098166469761,30.0,5.0,1000.0,-0.06242471123800186,0.021336562918715885,-12.813164098431116
1763715279705,three_faults,False,,29.967668621603597,29.92378153941172,30.038749405017086,5.156439233518345,5.0635638870933,5.213402779325705,1003.846949112356,987.1863933954933,1031.1048453491862,30.0,5.0,1000.0,-0.03233137839640321,0.15643923351834488,3.8469491123560147
1763715280754,three_faults,False,,29.93422937376368,29.90080577642732,29.969750834932256,5.1688226130416846,5.104429039520321,5.213402779325705,1003.5516798301891,971.631639130637,1020.9157394987653,30.0,5.0,1000.0,-0.06577062623631846,0.16882261304168455,3.551679830189073
1763715281803,three_faults,False,,29.944682061737435,29.877835918624385,30.0157439133518,5.0412738039512925,4.9682118647635924,5.118050756995997,1000.8591138847772,977.704239394044,1013.2373701070665,30.0,5.0,1000.0,-0.055317938262565036,0.04127380395129254,0.8591138847772299
1763715282963,three_faults,False,,29.936322928190588,29.877835918624385,29.992744394509828,5.088330646139981,4.940968429812249,5.213402779325705,1001.1600373408739,977.9344197530907,1026.5678295489388,30.0,5.0,1000.0,-0.06367707180941196,0.08833064613998065,1.1600373408739415
1763715284020,three_faults,False,,29.969760554466095,29.877835918624385,30.0157439133518,5.281511366704066,5.199781061850029,5.363241671558101,1000.471706607995,985.9745848299622,1013.4930735889445,30.0,5.0,1000.0,-0.030239445533904785,0.2815113667040663,0.47170660799497455
1763715285001,three_faults,False,,29.926095106976568,29.854871952519943,30.0157439133518,5.216127122820839,5.172537626898684,5.281511366704068,1001.7248491389894,988.2418388233475,1022.119346361544,30.0,5.0,1000.0,-0.07390489302343184,0.216127122820839,1.7248491389893843
1763715286100,three_faults,False,,29.95304551822479,29.854871952519943,30.038749405017086,5.121765770852995,5.0635638870933,5.199781061850029,1006.0606613709301,988.7563942499426,1020.7827633706927,30.0,5.0,1000.0,-0.046954481775209445,0.12176577085299467,6.06066137093012
1763715287201,three_faults,False,,29.923790152091023,29.877835918624385,29.992744394509828,5.090807322044648,5.022698734666281,5.1452941919473405,998.5167031122063,973.6158437846593,1027.0592233193443,30.0,5.0,1000.0,-0.07620984790897722,0.0908073220446477,-1.4832968877936992
1763715288202,three_faults,False,,29.930681966648912,29.877835918624385,29.992744394509828,5.063563887093302,5.022698734666281,5.104429039520321,1004.8503241806638,990.2186210010312,1029.5913508270628,30.0,5.0,1000.0,-0.0693180333510881,0.06356388709330218,4.850324180663847
1763715289301,three_faults,False,,29.94886919027294,29.854871952519943,30.038749405017086,5.094522335901651,5.036320452141957,5.131672474471665,997.6792090475018,977.0363473246731,1014.7402876833484,30.0,5.0,1000.0,-0.0511308097270593,0.09452233590165093,-2.320790952498214
1763715290335,three_faults,False,,29.926090955785448,29.854871952519943,29.992744394509828,5.077185604568975,5.022698734666281,5.118050756995997,993.7490403828342,984.3316265466569,1011.9731504821804,30.0,5.0,1000.0,-0.07390904421455247,0.07718560456897539,-6.25095961716579
1763715291302,three_faults,False,,29.930689077187346,29.854871952519943,30.0157439133518,5.092169493792214,5.0635638870933,5.131672474471665,995.3353367717503,977.398400404299,1012.229858695241,30.0,5.0,1000.0,-0.0693109228126545,0.0921694937922144,-4.664663228249651
1763715292448,three_faults,False,,29.904997679992672,29.80896164154973,29.969750834932256,5.083377294330645,5.0499421696176325,5.158915909423008,990.7769757073904,953.165682522115,1022.6870973964202,30.0,5.0,1000.0,-0.09500232000732822,0.08337729433064478,-9.22302429260958
1763715293510,three_faults,False,,29.927972951543666,29.854871952519943,30.0157439133518,5.146532529899674,5.090807322044645,5.18615934437436,1002.2306054193697,993.0890818469718,1021.9785044332671,30.0,5.0,1000.0,-0.07202704845633434,0.14653252989967402,2.230605419369681
1763715294534,three_faults,False,,29.946770928876724,29.877835918624385,29.992744394509828,5.18479717262679,5.131672474471665,5.2406462142770485,998.063850644707,972.7583442982569,1018.4463570557728,30.0,5.0,1000.0,-0.05322907112327613,0.18479717262678985,-1.9361493552929687
1763715295558,three_faults,False,,29.914595371897423,29.854871952519943,29.969750834932256,5.152105050685175,5.090807322044645,5.227024496801373,1008.0596265810904,984.1521453336557,1022.8547772283644,30.0,5.0,1000.0,-0.08540462810257665,0.15210505068517488,8.059626581090356
1763715296501,three_faults,False,,29.92608916532767,29.831913864646026,29.969750834932256,5.222937981558674,5.158915909423008,5.349619954082432,998.5072947746914,969.0733436488133,1020.1027528785798,30.0,5.0,1000.0,-0.07391083467232917,0.22293798155867428,-1.4927052253085549
1763715297708,three_faults,False,,29.927970268616647,29.854871952519943,30.038749405017086,5.231977848610711,5.18615934437436,5.295133084179737,1004.4473905606554,988.7911448839918,1041.061549955867,30.0,5.0,1000.0,-0.07202973138335267,0.23197784861071113,4.447390560655435
1763715298630,three_faults,False,,29.907705590201147,29.831913864646026,29.969750834932256,5.2365596990343475,5.18615934437436,5.295133084179737,998.9590423786282,966.2147671530471,1018.7735788145561,30.0,5.0,1000.0,-0.0922944097988534,0.23655969903434748,-1.040957621371831
1763715299700,three_faults,False,,29.915431016096864,29.854871952519943,29.969750834932256,5.1836826684696895,5.077185604568976,5.267889649228393,997.3937900835052,962.4529712544265,1020.7735731115126,30.0,5.0,1000.0,-0.08456898390313583,0.1836826684696895,-2.6062099164947767
1763715300802,three_faults,False,,29.92587885290574,29.854871952519943,29.969750834932256,5.006600341285943,4.940968429812249,5.0635638870933,1001.6143641687248,973.5900844431267,1020.0498560967218,30.0,5.0,1000.0,-0.07412114709426021,0.006600341285943223,1.6143641687248191
1763715301907,three_faults,False,,29.884731001504008,29.831913864646026,29.92378153941172,4.984557925734399,4.8728598424338845,5.022698734666281,1003.7204190404109,981.4366586834519,1035.779991253241,30.0,5.0,1000.0,-0.11526899849599204,-0.015442074265600958,3.7204190404108886
1763715302930,three_faults,False,,29.909168118703022,29.854871952519943,29.969750834932256,4.975641892477596,4.927346712336573,5.009077017190612,988.4909762678137,970.190815885815,1008.3163819115283,30.0,5.0,1000.0,-0.09083188129697817,-0.02435810752240375,-11.509023732186279
1763715303954,three_faults,False,,29.907709748141315,29.854871952519943,30.0157439133518,4.962763177773323,4.927346712336573,4.995455299714936,995.1496945950969,979.9024342837208,1016.363631714325,30.0,5.0,1000.0,-0.09229025185868522,-0.03723682222667701,-4.850305404903111
1763715305081,three_faults,False,,29.919619721955293,29.831913864646026,29.992744394509828,4.918678346670237,4.8728598424338845,4.981833582239268,1007.6231557331004,987.9516889617398,1043.438681308714,30.0,5.0,1000.0,-0.08038027804470715,-0.08132165332976271,7.623155733100361
